Host,"IP Address",Mount,Used,Status
dpamo,"10.237.82.138","/appl/sasconfig",1,Normal
dpamo,"10.237.82.138","/appl/sasdata",1,Normal
dpamo,"10.237.82.138","/appl/saslogs",1,Normal
dpama,"10.237.82.137","/appl/config",1,Normal
dpama,"10.237.82.137","/appl/depot",1,Normal
dpama,"10.237.82.137","/appl/di_shareddata",1,Normal
dpama,"10.237.82.137","/appl/lsf",1,Normal
dpama,"10.237.82.137","/appl/sasbackup",1,Normal
dpama,"10.237.82.137","/appl/sasdata",1,Normal
dpama,"10.237.82.137","/appl/saslogs",1,Normal
dpama,"10.237.82.137","/work",1,Normal
dpaespdistrib,"10.237.82.174","/appl/di_shareddata",1,Normal
dpaespdistrib,"10.237.82.174","/appl/sasbackup/esp11",1,Normal
dpaespdistrib,"10.237.82.174","/opt/sas/viya/config",1,Normal
dpaespdistrib,"10.237.82.174","/opt/sas/viya/data",1,Normal
dpaespdistrib,"10.237.82.174","/opt/sas/viya/home",1,Normal
dpaespdistrib,"10.237.82.174","/usr/bin2",1,Normal
dpadicompute,"10.237.82.134","/appl/depot",1,Normal
dpadicompute,"10.237.82.134","/appl/di_shareddata",1,Normal
dpadicompute,"10.237.82.134","/appl/sasbackup",1,Normal
dpadicompute,"10.237.82.134","/appl/sasdata",1,Normal
dpadicompute,"10.237.82.134","/appl/saslogs",1,Normal
dpadesignrtdm,"10.237.82.133","/appl/depot",1,Normal
dpadesignrtdm,"10.237.82.133","/appl/di_shareddata",1,Normal
dpadesignrtdm,"10.237.82.133","/appl/sasbackup",1,Normal
dpadesignrtdm,"10.237.82.133","/appl/sasdata",1,Normal
dpadesignrtdm,"10.237.82.133","/appl/saslogs",1,Normal
dpadesignmidtier,"10.237.82.132","/appl/depot",1,Normal
dpadesignmidtier,"10.237.82.132","/appl/di_shareddata",1,Normal
dpadesignmidtier,"10.237.82.132","/appl/sasbackup",1,Normal
dpadesignmidtier,"10.237.82.132","/appl/saslogs",1,Normal
dpadesignmetadata,"10.237.82.136","/appl/depot",1,Normal
dpadesignmetadata,"10.237.82.136","/appl/di_shareddata",1,Normal
dpadesignmetadata,"10.237.82.136","/appl/sasbackup",1,Normal
dpadesignmetadata,"10.237.82.136","/appl/saslogs",1,Normal
dpadeployment,"10.237.82.167","/appl/repo",1,Normal
dpaanalytics,"10.237.82.135","/appl/depot",1,Normal
dpaanalytics,"10.237.82.135","/appl/di_shareddata",1,Normal
dpaanalytics,"10.237.82.135","/appl/sasbackup",1,Normal
dpaanalytics,"10.237.82.135","/appl/sasdata",1,Normal
dpaanalytics,"10.237.82.135","/appl/saslogs",1,Normal
dpaanalytics,"10.237.82.135","/work",1,Normal
"ip-10-237-82-146.ap-southeast-1.compute.internal","10.237.82.146","/dev",0,Normal
"ip-10-237-82-144.ap-southeast-1.compute.internal","10.237.82.144","/dev",0,Normal
"ip-10-237-82-143","10.237.82.143","/dev",0,Normal
dparuntimemetadata03,"10.237.82.142","/dev",0,Normal
dparuntimemetadata02,"10.237.82.141","/dev",0,Normal
dparuntimemetadata01,"10.237.82.140","/dev",0,Normal
dpartdmruntimedeployment,"10.237.82.139","/dev",0,Normal
dpama,"10.237.82.137","/dev",0,Normal
dpaespdistrib,"10.237.82.174","/dev",0,Normal
dpaespconn02,"10.237.82.179","/dev",0,Normal
dpaespconn01,"10.237.82.178","/dev",0,Normal
dpadicompute,"10.237.82.134","/dev",0,Normal
dpadesignrtdm,"10.237.82.133","/dev",0,Normal
dpadesignmidtier,"10.237.82.132","/dev",0,Normal
dpadesignmetadata,"10.237.82.136","/dev",0,Normal
dpadeployment,"10.237.82.167","/dev",0,Normal
dpaanalytics,"10.237.82.135","/dev",0,Normal
"ip-10-237-82-145.ap-southeast-1.compute.internal","10.237.82.145",,,"NO DATA"
dpaespprocessors91,"10.237.82.199",,,"NO DATA"
"dpaespprocessors20.globetel.com","10.237.82.186",,,"NO DATA"
"dpaespprocessors19.globetel.com","10.237.82.184",,,"NO DATA"
"dpaespprocessors18.globetel.com","10.237.82.182",,,"NO DATA"
"dpaespprocessors17.globetel.com","10.237.82.181",,,"NO DATA"
"dpaespprocessors13.globetel.com","10.237.82.152",,,"NO DATA"
"dpaespprocessors12.globetel.com","10.237.82.151",,,"NO DATA"
"dpaespprocessors11.globetel.com","10.237.82.188",,,"NO DATA"
dpaespprocessors09,"10.237.82.164",,,"NO DATA"
dpaespprocessors08,"10.237.82.163",,,"NO DATA"
dpaespprocessors07,"10.237.82.162",,,"NO DATA"
dpaespprocessors06,"10.237.82.161",,,"NO DATA"
dpaespprocessors05,"10.237.82.160",,,"NO DATA"
dpaespprocessors04,"10.237.82.159",,,"NO DATA"
dpaespprocessors03,"10.237.82.158",,,"NO DATA"
dpaespprocessors02,"10.237.82.157",,,"NO DATA"
dpaespprocessors01,"10.237.82.156",,,"NO DATA"
dpaespprocessors00,"10.237.82.155",,,"NO DATA"
dpaespkwik02,"10.237.82.176",,,"NO DATA"
dpaespkwik01,"10.237.82.165",,,"NO DATA"
dpaespeventstreammgr,"10.237.82.166",,,"NO DATA"
